,age,is_EU,counts_pictures,counts_details,whazzup_len,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,isVip,isHighlighted,isFlirtstar,isNew,isMobile,isOnline,isInfluencer
age,0.02447274,1.0497635e-07,0.004975574,0.003207728,0.0022099533,0.0006456105,0.0022687782,0.004184292,0.0011596335,0.00048660944,0.0,0.0047892486,0.000702401,0.0,0.00016871732,0.0,0.00021901612,0.0,0.0028996444,5.6556314e-07,0.00038177343,0.0
is_EU,1.0486285e-07,0.0036051916,0.00020677586,0.0009676085,0.0006638549,0.0,0.0,0.00019152356,0.00046985882,0.0,2.7597127e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019699936,0.0,0.0
counts_pictures,0.0049755746,0.00020677806,0.35102105,0.012721134,0.021941187,0.0041300417,0.0016261807,0.0033590626,0.0045464127,0.0019733724,0.00058215734,0.018599495,0.0007333634,0.00016172993,0.00014169457,0.00019705234,0.00023162916,0.0,0.032460444,0.0010279105,0.0054646474,0.0
counts_details,0.0032077262,0.00096760824,0.012721129,0.06593546,0.0071685873,0.0028687033,0.001071384,0.0019528796,0.007789228,0.0029558165,0.0009115543,0.002588968,0.0006869261,0.0001553776,0.0,9.994064e-05,0.0,0.0,0.006163983,0.0015537288,0.004638198,0.0
whazzup_len,0.002209949,0.0006638586,0.02194119,0.007168587,0.21261354,0.001990682,0.00703712,0.0010221459,0.0020631999,0.00073821493,0.0025759093,0.0045198807,0.0009868973,0.00035573388,0.0,0.00011740588,0.0,0.0,0.014951014,0.0010033386,0.0065366626,0.0
flirtInterests_chat,0.0006456105,0.0,0.004130048,0.0028687036,0.0019906822,0.03768199,0.0022922554,0.0014012328,0.0021054428,0.0024495784,0.0010148095,0.001701989,0.0,0.0,0.0002724887,0.0,0.0005363236,0.0,0.013775537,0.0010003193,0.0,0.0
flirtInterests_friends,0.0022687798,0.0,0.0016261827,0.0010713837,0.00703712,0.0022922538,0.036413934,0.0026679642,0.0008532469,0.000125291,0.00029083964,0.0023300957,0.00031529798,0.0,0.0,4.5852972e-05,0.00067082123,0.0,0.0114781475,0.00070965185,0.0,0.0
flirtInterests_date,0.004184292,0.00019152397,0.0033590614,0.0019528794,0.001022146,0.0014012326,0.0026679642,0.020600662,0.0012284562,0.00063279876,0.0,0.00061521935,0.00026035868,0.0,0.0,0.00045829848,0.0,0.0,0.0005165844,0.0,0.0,0.0
lang_count,0.0011596344,0.00046985864,0.004546416,0.007789228,0.0020632022,0.0021054451,0.00085324683,0.0012284562,0.045537144,0.0,0.00052966154,0.00024951764,0.00012374844,0.00011006275,0.0,0.0,0.0,0.0,0.0035030528,0.0,0.0019132387,0.0
lang_fr,0.00048660953,0.0,0.0019733724,0.002955816,0.00073821,0.0024495784,0.0001252907,0.00063279923,0.0,0.0065425746,0.0,0.0013744155,0.00026174297,0.0,0.0,0.0,1.8222783e-05,0.0,0.0014643923,0.0019528081,0.00033146763,0.0
